country,product,date,price_wo_tax_forecast,price_with_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
DE,euro95,2026-08-03,1036.8456926101603,2189.3692220219255,2160.589380303024,2218.149063740826
DE,euro95,2026-08-10,1036.8456926101603,2189.3692220219255,2148.5447339717794,2230.193710072071
DE,euro95,2026-08-17,1036.8456926101603,2189.3692220219255,2139.319263383101,2239.4191806607496
DE,euro95,2026-08-24,1036.8456926101603,2189.3692220219255,2131.547445026233,2247.1909990176173
DE,euro95,2026-08-31,1036.8456926101603,2189.3692220219255,2124.703021962458,2254.0354220813924
DE,euro95,2026-09-07,1034.3735312671115,2186.897060678876,2116.0445592034694,2257.7495621542835
DE,euro95,2026-09-14,1034.3735312671115,2186.897060678876,2110.356636715365,2263.437484642388
DE,euro95,2026-09-21,1034.3735312671115,2186.897060678876,2105.063106627361,2268.7310147303924
DE,euro95,2026-09-28,1034.3735312671115,2186.897060678876,2100.0917868131883,2273.7023345445646
DE,euro95,2026-10-05,1031.7144959452335,2184.238025356998,2092.73111247011,2275.744938243887
DE,euro95,2026-10-12,1031.7144959452335,2184.238025356998,2088.2595140053413,2280.2165367086554
DE,euro95,2026-10-19,1031.7144959452335,2184.238025356998,2083.987169118901,2284.4888815950953
DE,diesel,2026-08-03,1205.438400116102,2186.6636102001357,2152.674373211656,2220.6528471886154
DE,diesel,2026-08-10,1205.438400116102,2186.6636102001357,2137.660126740857,2235.6670936594146
DE,diesel,2026-08-17,1205.438400116102,2186.6636102001357,2126.269781448941,2247.0574389513304
DE,diesel,2026-08-24,1205.438400116102,2186.6636102001357,2116.7101420136805,2256.617078386591
DE,diesel,2026-08-31,1205.438400116102,2186.6636102001357,2108.3082602143295,2265.018960185942
DE,diesel,2026-09-07,1205.4412956061744,2186.666505690208,2100.726794080947,2272.6062172994693
DE,diesel,2026-09-14,1205.4412956061744,2186.666505690208,2093.759524297162,2279.573487083254
DE,diesel,2026-09-21,1205.4412956061744,2186.666505690208,2087.279482635623,2286.053528744793
DE,diesel,2026-09-28,1205.4412956061744,2186.666505690208,2081.1968251571875,2292.1361862232284
DE,diesel,2026-10-05,1205.5154786645285,2186.740688748562,2075.520516694109,2297.9608608030153
DE,diesel,2026-10-12,1205.5154786645285,2186.740688748562,2070.053072302313,2303.4283051948114
DE,diesel,2026-10-19,1205.5154786645285,2186.740688748562,2064.8305866569317,2308.6507908401927
DE,heating_oil,2026-08-03,861.8347872238533,1307.0289048709121,1266.635230693578,1347.4225790482462
DE,heating_oil,2026-08-10,856.9619296690141,1302.156047316073,1250.072971208555,1354.2391234235909
DE,heating_oil,2026-08-17,854.8114754394062,1300.005593086465,1240.1177067004862,1359.893479472444
DE,heating_oil,2026-08-24,853.8624525423493,1299.0565701894081,1232.9046404119313,1365.208499966885
DE,heating_oil,2026-08-31,853.4436366258151,1298.637754272874,1227.0157222879147,1370.259786257833
DE,heating_oil,2026-09-07,856.1105205727624,1301.3046382198213,1224.7031783825882,1377.9060980570544
DE,heating_oil,2026-09-14,856.0289532603651,1301.223070907424,1219.9886415635845,1382.4575002512636
DE,heating_oil,2026-09-21,855.9929565643877,1301.1870742114465,1215.587529911564,1386.786618511329
DE,heating_oil,2026-09-28,855.9770707630391,1301.171188410098,1211.4259392322513,1390.9164375879448
DE,heating_oil,2026-10-05,857.4387339847237,1302.6328516317826,1208.9282380266995,1396.3374652368657
DE,heating_oil,2026-10-12,857.4356401144335,1302.6297577614923,1205.1277459729747,1400.13176955001
