country,product,n_weeks,order,naive_mae,noexog_mae,exog_mae,n_folds,exog_beats_noexog,exog_beats_naive,gbm_mae,gbm_rmse,gbm_folds,gbm_beats_sarimax,pct_diff_gbm_vs_sarimax
DE,euro95,1074,"[0, 1, 1]",39.49400385154063,38.84978674818822,31.839082126197265,4,True,True,44.99027443128294,51.85365646487344,4,False,-41.305186666373295
DE,diesel,1074,"[0, 1, 1]",77.70541141456583,71.92224853195614,59.23486494700972,4,True,True,40.19143571964754,49.10270694600466,4,True,32.1490210949211
DE,heating_oil,1074,"[1, 1, 1]",58.45628501400559,60.87039576732189,43.45963800005352,4,True,True,79.7465215283064,83.33615228779712,4,False,-83.49559544929525
DE,fuel_oil_1,246,"[1, 1, 1]",32.408958333333324,31.20272721088412,33.77458416676397,4,False,False,38.583263694921946,41.79637345059585,4,False,-14.23756841657869
DE,lpg,1074,"[1, 1, 1]",14.554077380952371,13.100412624403008,13.139595090982166,4,False,True,22.1608616797916,25.41009347545488,4,False,-68.65711253918944
FR,euro95,1074,"[1, 1, 1]",38.82614583333333,40.41492924306324,39.18765750944932,4,True,False,59.11517687217558,67.41480542890066,4,False,-50.85151966003871
FR,diesel,1074,"[1, 1, 1]",84.15541666666667,92.2049963356564,80.8449996659173,4,True,True,52.22269782732351,59.84349184111164,4,True,35.40392350407839
FR,heating_oil,1074,"[1, 1, 1]",74.12003472222227,71.69829225900997,66.09974526121613,4,True,True,39.24373627348414,48.01520191578035,4,True,40.629519647316535
FR,fuel_oil_1,995,"[0, 1, 1]",19.76791666666666,19.015055370697144,19.974067673909246,4,False,False,31.12140428459128,36.4002846042945,4,False,-55.80904597235862
FR,fuel_oil_2,246,"[0, 1, 1]",36.059791666666655,37.28239421090551,31.63809918554433,4,True,True,17.51976682611781,20.41080022663018,4,True,44.62446456289411
FR,lpg,1074,"[1, 1, 1]",7.604062500000023,7.705963928502918,8.364760153309891,4,False,False,27.230826392104227,29.481143503524034,4,False,-225.54222587397362
IT,euro95,1073,"[1, 1, 1]",34.37150273224047,42.582968074481016,39.76850538728695,4,True,False,38.25510014947203,47.40203650051485,4,True,3.8055371281283357
IT,diesel,1073,"[1, 1, 1]",69.86499999999997,84.19872109591854,84.61148863747007,4,False,False,40.12372996416831,47.93847868561807,4,True,52.57886297677125
IT,heating_oil,1073,"[1, 1, 1]",67.30806352459027,61.74761740911906,53.5932860194227,4,True,True,32.54014581801867,40.45467066489357,4,True,39.283167286615296
IT,fuel_oil_1,1073,"[0, 1, 1]",37.44520833333333,39.54527607681676,31.624616572697533,4,True,True,31.10641412472725,35.29406658661771,4,True,1.6386046824601228
IT,lpg,1073,"[1, 1, 1]",13.443857923497264,35.19428855454312,33.34263145902469,4,True,False,12.93910913677874,15.965489525038606,4,True,61.193497421822194
ES,euro95,1072,"[1, 1, 1]",38.29047188772912,44.97332904366212,43.66818587034331,4,True,False,26.8025641712806,34.43689393126985,4,True,38.62221744026417
ES,diesel,1073,"[1, 1, 1]",74.63670905439577,96.57773459064938,98.34927605558958,4,False,False,32.5840234223184,39.05778740601211,4,True,66.86907649030273
ES,heating_oil,1073,"[1, 1, 1]",89.26838867139287,111.29428262108084,106.4506753776441,4,True,False,29.00997712868505,33.80978807864717,4,True,72.74796329307509
ES,fuel_oil_1,1073,"[0, 1, 1]",36.34220833333332,35.545230374387444,36.28440437312453,4,False,True,44.87869999168984,48.8823509279957,4,False,-23.685921726004725
ES,lpg,1073,"[1, 1, 1]",12.751894954196382,14.13887266255717,12.437161373375291,4,True,True,34.04752849913707,37.04574831314152,4,False,-173.75642622137175
NL,euro95,1074,"[1, 1, 1]",48.35387568870525,49.85157668731424,38.20151830307619,4,True,True,32.791069047995464,39.48045487000213,4,True,14.162916803872294
NL,diesel,1074,"[1, 1, 1]",89.04943353994491,83.64202532212852,72.4581689843318,4,True,True,38.97966709217596,45.26495126701639,4,True,46.20390269507799
NL,heating_oil,899,"[1, 1, 1]",111.575,111.46728541578344,108.1293025420622,4,True,True,120.75015422936175,165.4032381833373,4,False,-11.671999532587432
NL,fuel_oil_1,899,"[0, 1, 1]",32.05749999999998,31.46958045057958,31.02193953679955,4,True,True,26.91261444354293,31.47386038782823,4,True,13.246512483147487
NL,lpg,1074,"[1, 1, 1]",23.980602617079885,28.763942741581573,23.288271693843285,4,True,True,32.81260499067019,38.347756933669615,4,False,-40.89755316340134
BE,euro95,1073,"[1, 1, 1]",58.468357438016525,56.792746317874375,37.9002615298173,4,True,True,43.81400812667902,54.66767895359703,4,False,-15.603445354088638
BE,diesel,1073,"[0, 1, 1]",100.27580061983475,96.3359138277219,75.31610414162212,4,True,True,38.08691841169895,45.44125871544432,4,True,49.43057816681348
BE,heating_oil,1073,"[1, 1, 1]",90.99457816804404,94.39002590767456,83.69772735531768,4,True,True,36.12076631405831,42.65167350097397,4,True,56.843790798862834
BE,fuel_oil_1,1073,"[0, 1, 1]",34.72729166666666,36.20714134199523,32.69178862894587,4,True,True,26.56082737782524,30.312404741419307,4,True,18.753826291695074
BE,lpg,1073,"[1, 1, 1]",53.92706783746556,57.3214537543067,49.27295809693732,4,True,True,33.83933438975911,38.470355566058565,4,True,31.322705807138313
PL,euro95,1074,"[1, 1, 1]",48.41769811490045,53.848420986845305,47.298887359079565,4,True,True,49.6979514407817,57.22654707066259,4,False,-5.072136398239414
PL,diesel,1074,"[1, 1, 1]",86.15099961406011,92.1726483804874,85.76707794575871,4,True,True,55.05145811303329,66.56635570336122,4,True,35.812832345939036
PL,heating_oil,1074,"[0, 1, 1]",82.07885151180227,79.31890468729995,73.31952837335808,4,True,True,37.65255549384758,47.05358881657777,4,True,48.64593877075553
PL,fuel_oil_1,1074,"[1, 1, 1]",72.29047620426998,62.39884149673851,51.35418674103343,4,True,True,37.02300777181101,42.60898147013185,4,True,27.906544487776706
PL,fuel_oil_2,1074,"[0, 1, 1]",48.86221401039969,48.278386981812986,48.15582812024361,4,True,True,65.40456805821759,70.25426112753613,4,False,-35.818592704717716
PL,lpg,1074,"[1, 1, 1]",31.162913203001587,34.40481368127078,26.805493701865952,4,True,True,30.37249723387784,34.70861609173541,4,False,-13.306986887406541
AT,euro95,1072,"[1, 1, 1]",35.91812499999999,41.06420891990426,38.70611690875549,4,True,False,52.930444214969214,65.69285446015891,4,False,-36.7495590935812
AT,diesel,1072,"[1, 1, 1]",74.98125000000002,67.71789867719863,64.02861703322054,4,True,True,32.85784676218757,39.61132984289999,4,True,48.682560572658254
AT,heating_oil,1072,"[1, 1, 1]",89.46916666666665,85.13499470324061,75.39308734711852,4,True,True,40.01880340221341,48.9760551584539,4,True,46.91979754329175
AT,fuel_oil_1,993,"[1, 1, 1]",17.854166666666668,16.56246352172934,15.986339297061042,4,True,True,34.454607203088294,38.61213180297855,4,False,-115.52530922087017
CZ,euro95,1073,"[1, 1, 1]",29.976593776790885,29.42898000761484,25.300520981052813,4,True,True,40.280607756987486,46.322530252960775,4,False,-59.20860992211598
CZ,diesel,1073,"[1, 1, 1]",70.15248912112946,67.53237084919732,61.34939717434394,4,True,True,36.04886119526117,41.20598286330027,4,True,41.24007267289556
CZ,heating_oil,1073,"[1, 1, 1]",81.12925111589561,82.29429403622964,77.4788700398525,4,True,True,37.76518842820104,45.90668664262985,4,True,51.257435209398494
CZ,fuel_oil_1,739,"[0, 1, 1]",14.325625,11.910479655484597,14.310251677497623,4,False,True,23.575597554175022,25.55092688595856,4,False,-64.74621191496468
CZ,fuel_oil_2,193,"[0, 1, 1]",14.249791666666669,14.525949875195105,10.742673450355763,4,True,True,20.271996663396845,22.122694014854154,4,False,-88.70532327989082
CZ,lpg,1073,"[1, 1, 1]",15.344962952309023,18.203583425160005,9.960069863022332,4,True,True,37.44249208592532,41.60845237342234,4,False,-275.92599852069304
