date,price_with_tax_eur_per_1000l,price_wo_tax_eur_per_1000l,tax_amount_eur_per_1000l,tax_share_of_price
2005-01-03,936.4249972800387,387.72544151777555,548.6995557622631,0.5859514188066618
2005-01-10,930.6321595464301,382.14167208382247,548.4904874626077,0.5893740957006365
2005-01-17,927.0114623009448,379.5159933027104,547.4954689982344,0.590602696151448
2005-01-24,929.1007752441136,380.6465938207379,548.4541814233758,0.5903064511804695
2005-01-31,938.3097079341998,387.9696789577074,550.3400289764924,0.5865227912733966
2005-02-07,937.0006657337132,385.77832836258347,551.2223373711297,0.5882838268204411
2005-02-14,933.530446019535,383.0449977007641,550.485448318771,0.5896813014144068
2005-02-21,936.1977065574996,385.3720675316414,550.8256390258582,0.5883646532860071
2005-02-28,951.9896205304507,397.10964478389263,554.8799757465581,0.5828634722271213
2005-03-07,969.2639068531872,411.55781543025563,557.7060914229316,0.5753913742992666
2005-03-14,982.0577620058035,423.5636242012505,558.494137804553,0.5686978499756031
2005-03-21,989.1048186898375,429.7850863666892,559.3197323231484,0.5654807475956087
2005-04-04,1000.8581585169097,439.06077985679167,561.797378660118,0.5613156808279406
2005-04-11,1022.7794167054791,457.2243675576716,565.5550491478075,0.552958966430457
2005-04-18,1017.4909041565027,452.6003790297006,564.890525126802,0.555179926247198
2005-04-25,1015.4865034954066,450.2884688820709,565.1980346133357,0.5565785785117451
2005-05-02,1013.6734630132271,449.12283824230406,564.550624770923,0.5569353893242408
2005-05-09,1005.4624824295315,442.10910987823456,563.353372551297,0.5602927830683926
2005-05-16,996.1568020021274,435.62618473759755,560.5306172645298,0.5626931584846346
2005-05-23,989.9279499251763,429.47174042216335,560.456209503013,0.5661585871430088
2005-05-30,988.2398551907545,427.6581343131896,560.581720877565,0.5672526947107986
2005-06-06,1010.2642303264385,444.72171152638475,565.5425188000537,0.5597966371800718
2005-06-13,1030.3468421813845,461.13914112391114,569.2077010574734,0.5524428063974877
2005-06-20,1043.8201593756264,472.5831110454464,571.23704833018,0.547256194660843
2005-06-27,1052.105955295925,479.233004735836,572.8729505600891,0.5445011956034006
2005-07-04,1057.640357159093,484.72343687854243,572.9169202805505,0.541693512735701
2005-07-11,1068.182441670001,494.96228204849706,573.220159621504,0.5366313255676897
2005-07-18,1066.1870796157432,493.5193907833422,572.6676888324009,0.537117453194792
2005-07-25,1061.1011738309792,489.62363391399225,571.4775399169869,0.5385702645617999
2005-08-01,1060.0327362093378,488.281442042753,571.7512941665848,0.5393713558424237
2005-08-08,1063.3563918638956,490.9858318103445,572.3705600535511,0.5382678511484527
2005-08-15,1069.2114577166797,495.1873626534363,574.0240950632433,0.5368667637448276
2005-08-22,1090.035398372132,512.2722287229427,577.7631696491893,0.5300407404310223
2005-08-29,1093.2292607606755,515.4055061510027,577.8237546096728,0.5285476481004722
2005-09-05,1124.895594165077,541.606589219534,583.289004945543,0.518527237524184
2005-09-12,1118.7030704252475,535.8773439136801,582.8257265115674,0.5209833975784303
2005-09-19,1103.0976679851938,522.6087612292649,580.4889067559288,0.5262352768963703
2005-09-26,1109.4923225086022,528.8668448068194,580.6254777017829,0.5233253677582623
2005-10-03,1123.4827267517633,540.5656188173883,582.9171079343749,0.5188483045215275
2005-10-10,1125.2998871227053,542.878886433262,582.4210006894433,0.5175695895417208
